,salary_in_usd
0,253152
1,49972
2,45538
3,9741
4,170372
5,16844
6,10387
7,10483
8,10026
9,200000
10,9349
11,95530
12,112261
13,6834
14,8302
15,10297
16,17163
17,80584
18,12356
19,40427
20,66616
21,6726
22,105887
23,216688
24,6217
25,66920
26,66133
27,249244
28,87064
29,230477
30,47651
31,40002
32,7713
33,26211
34,6079
35,6519
36,210363
37,20469
38,6566
39,192373
40,60557
41,181079
42,39665
43,165171
44,50632
45,195884
46,83268
47,6580
48,25953
49,47079
50,9989
51,6443
52,110674
53,140884
54,106031
55,5814
56,165178
57,80609
58,87851
59,267131
60,80033
61,169240
62,151460
63,120282
64,165017
65,231436
66,138574
67,115281
68,162691
69,58997
70,95433
71,149237
72,9311
73,6499
74,7747
75,12834
76,6302
77,20985
78,102680
79,98815
80,178221
81,182172
82,66267
83,132011
84,9871
85,113090
86,20770
87,192244
88,231198
89,6528
90,34652
91,112888
92,46961
93,6115
94,92307
95,95352
96,135033
97,63175
98,46261
99,224727
100,180104
101,90185
102,170000
103,206129
104,260299
105,5762
106,109314
