id,salary_in_usd
0,265878
1,48495
2,43488
3,5602
4,184725
5,19364
6,5677
7,601
8,4105
9,199972
10,7194
11,95782
12,112263
13,5921
14,5488
15,5138
16,17312
17,81237
18,1346
19,41647
20,76185
21,5774
22,165023
23,215938
24,4439
25,65636
26,65418
27,259151
28,102032
29,262514
30,43678
31,37889
32,5444
33,24201
34,4104
35,6408
36,210345
37,2008
38,6862
39,193172
40,3431
41,18775
42,37397
43,164714
44,50015
45,186632
46,83355
47,69
48,24609
49,44015
50,3973
51,692
52,111135
53,141201
54,106061
55,5538
56,165045
57,79808
58,91982
59,271349
60,80156
61,169384
62,150821
63,120102
64,164901
65,226569
66,138826
67,1153
68,161758
69,60126
70,95828
71,150712
72,4799
73,6128
74,417
75,10177
76,5786
77,20371
78,102832
79,47321
80,189137
81,190459
82,65316
83,132798
84,396
85,122715
86,20675
87,192985
88,229876
89,5675
90,32575
91,126859
92,46939
93,4191
94,90412
95,94775
96,141687
97,64767
98,42614
99,229165
100,180122
101,905
102,16999
103,206287
104,260218
105,4251
106,109374
