,Unnamed: 0,Unnamed: 0.1,salary_in_usd
0,0,0,265878
1,1,1,48495
2,2,2,43488
3,3,3,5602
4,4,4,184725
5,5,5,19364
6,6,6,5677
7,7,7,6010
8,8,8,4105
9,9,9,199972
10,10,10,7194
11,11,11,95782
12,12,12,112263
13,13,13,5921
14,14,14,5488
15,15,15,5138
16,16,16,17312
17,17,17,81237
18,18,18,13460
19,19,19,41647
20,20,20,76185
21,21,21,5774
22,22,22,165023
23,23,23,215938
24,24,24,4439
25,25,25,65636
26,26,26,65418
27,27,27,259151
28,28,28,102032
29,29,29,262514
30,30,30,43678
31,31,31,37889
32,32,32,5444
33,33,33,24201
34,34,34,4104
35,35,35,6408
36,36,36,210345
37,37,37,20080
38,38,38,6862
39,39,39,193172
40,40,40,34310
41,41,41,187750
42,42,42,37397
43,43,43,164714
44,44,44,50015
45,45,45,186632
46,46,46,83355
47,47,47,6900
48,48,48,24609
49,49,49,44015
50,50,50,3973
51,51,51,6920
52,52,52,111135
53,53,53,141201
54,54,54,106061
55,55,55,5538
56,56,56,165045
57,57,57,79808
58,58,58,91982
59,59,59,271349
60,60,60,80156
61,61,61,169384
62,62,62,150821
63,63,63,120102
64,64,64,164901
65,65,65,226569
66,66,66,138826
67,67,67,115300
68,68,68,161758
69,69,69,60126
70,70,70,95828
71,71,71,150712
72,72,72,4799
73,73,73,6128
74,74,74,4170
75,75,75,10177
76,76,76,5786
77,77,77,20371
78,78,78,102832
79,79,79,47321
80,80,80,189137
81,81,81,190459
82,82,82,65316
83,83,83,132798
84,84,84,3960
85,85,85,122715
86,86,86,20675
87,87,87,192985
88,88,88,229876
89,89,89,5675
90,90,90,32575
91,91,91,126859
92,92,92,46939
93,93,93,4191
94,94,94,90412
95,95,95,94775
96,96,96,141687
97,97,97,64767
98,98,98,42614
99,99,99,229165
100,100,100,180122
101,101,101,90500
102,102,102,169990
103,103,103,206287
104,104,104,260218
105,105,105,4251
106,106,106,109374
