iter	RMSE
0	56528.02741
1	55261.85872
2	53785.1595
3	52492.18697
4	51328.41006
5	50022.69656
6	48835.78043
7	47804.89821
8	46806.53821
9	45536.73329
10	44398.79152
11	43323.715
12	42326.83382
13	41459.97815
14	40623.77305
15	39672.78075
16	38595.56708
17	37659.86663
18	36721.59688
19	36039.45467
20	35268.54794
21	34484.22454
22	33697.57294
23	33148.37443
24	32351.81275
25	31632.12421
26	30929.91004
27	30253.47554
28	29646.65743
29	29044.45856
30	28392.14941
31	27800.65909
32	27129.11511
33	26434.46502
34	25851.48229
35	25266.39431
36	24686.59185
37	24200.49144
38	23771.4945
39	23280.9351
40	22798.89258
41	22322.76407
42	21884.99488
43	21463.41437
44	21083.41734
45	20676.77582
46	20354.44374
47	19998.13256
48	19715.15408
49	19341.75907
50	18981.81651
51	18665.6059
52	18390.84521
53	18105.91778
54	17806.25125
55	17462.53177
56	17149.27551
57	16871.94381
58	16600.15043
59	16442.17579
60	16280.62152
61	16037.87792
62	15778.44303
63	15606.16853
64	15358.15006
65	15228.63262
66	15043.1727
67	14795.83288
68	14684.07609
69	14511.7088
70	14309.69748
71	14148.52626
72	13952.67272
73	13788.93528
74	13603.33933
75	13408.88332
76	13270.05917
77	13097.98688
78	13012.12694
79	12849.47152
80	12767.67313
81	12654.94936
82	12519.97816
83	12443.08059
84	12282.4903
85	12198.68966
86	12082.83262
87	11963.57674
88	11898.64723
89	11843.07552
90	11737.02786
91	11615.09866
92	11555.50936
93	11474.62933
94	11352.68782
95	11290.07967
96	11187.98212
97	11078.45891
98	11005.66851
99	10881.22611
100	10840.20024
101	10740.26153
102	10650.07972
103	10509.62212
104	10457.55492
105	10402.30933
106	10327.57364
107	10285.64917
108	10240.21095
109	10204.30926
110	10107.05716
111	10075.45385
112	10021.58378
113	9969.512872
114	9925.194455
115	9828.252435
116	9767.476157
117	9733.921532
118	9637.319056
119	9522.879637
120	9421.079452
121	9339.039472
122	9263.794792
123	9205.792704
124	9154.984057
125	9116.847065
126	9073.916309
127	9015.090092
128	8929.598036
129	8895.469146
130	8861.658933
131	8825.960336
132	8773.73837
133	8730.546894
134	8704.259699
135	8673.920028
136	8651.805685
137	8557.565359
138	8534.146197
139	8504.04195
140	8463.242247
141	8398.9098
142	8341.061833
143	8309.732957
144	8281.507427
145	8256.340985
