iter	Passed	Remaining
0	1	1269
1	2	1171
2	3	1140
3	4	1045
4	5	1001
5	6	1025
6	7	1044
7	8	1045
8	9	1042
9	10	1035
10	11	1029
11	12	1032
12	13	1031
13	14	1029
14	15	1023
15	16	1016
16	17	1007
17	18	1000
18	19	988
19	19	977
20	20	969
21	21	964
22	22	960
23	23	957
24	24	955
25	25	952
26	26	950
27	27	946
28	28	945
29	29	945
30	30	941
31	31	941
32	32	938
33	32	935
34	33	931
35	34	928
36	35	924
37	36	921
38	37	918
39	38	917
40	39	915
41	40	912
42	40	911
43	41	909
44	42	907
45	43	906
46	44	904
47	45	903
48	46	901
49	47	898
50	48	895
51	48	892
52	49	889
53	50	887
54	51	885
55	52	883
56	53	882
57	54	880
58	55	878
59	56	877
60	56	876
61	57	875
62	58	874
63	59	873
64	60	873
65	61	873
66	62	871
67	63	869
68	64	867
69	65	866
70	66	864
71	66	862
72	67	862
73	68	860
74	69	857
75	70	855
76	71	853
77	71	850
78	72	849
79	73	848
80	74	842
81	75	840
82	75	838
83	76	837
84	77	835
85	78	834
86	79	834
87	80	833
88	81	833
89	82	833
90	83	832
91	84	831
92	85	830
93	86	829
94	86	828
95	87	827
96	88	826
97	89	824
98	90	822
99	91	821
100	92	820
101	93	819
102	93	818
103	94	817
104	95	816
105	96	816
106	97	815
107	98	812
108	99	811
109	100	810
110	101	810
111	102	809
112	103	808
113	103	806
114	104	805
115	105	806
116	106	806
117	107	806
118	108	806
119	109	805
120	110	804
121	111	804
122	112	804
123	113	804
124	114	803
125	115	803
126	116	803
127	117	802
128	118	801
129	119	799
130	120	798
131	121	799
132	122	799
133	123	801
134	125	801
135	126	802
136	127	802
137	128	803
138	129	804
139	131	805
140	132	805
141	133	804
142	134	805
143	135	806
144	136	807
145	138	809
146	139	810
147	141	812
148	142	814
149	144	816
150	145	818
151	146	819
152	148	820
153	150	825
154	152	829
155	154	835
156	156	839
157	159	848
158	160	849
159	161	849
160	163	850
161	165	853
162	166	853
163	167	854
164	169	857
165	171	861
166	173	863
167	174	862
168	175	863
169	177	864
170	178	864
171	179	865
172	180	862
173	181	862
174	183	863
175	184	864
176	186	865
177	187	864
178	188	863
179	189	864
180	191	866
181	192	867
182	194	866
183	195	865
184	196	867
185	198	866
186	199	865
187	200	865
188	201	863
189	202	861
190	203	861
191	205	863
192	206	861
193	206	859
194	208	858
195	209	857
196	210	856
197	211	855
198	212	853
199	213	852
200	214	851
201	215	850
202	216	850
203	217	849
204	219	849
205	220	848
206	221	847
207	222	846
208	223	845
209	224	844
210	225	842
211	226	841
212	227	841
213	228	840
214	230	840
215	231	839
216	232	839
217	233	838
218	234	837
219	235	835
220	236	834
221	237	834
222	238	832
223	239	830
224	240	829
225	242	830
226	243	830
227	244	828
228	245	827
229	247	828
230	249	829
231	250	828
232	251	829
233	253	828
234	254	827
235	255	826
236	256	824
237	257	823
238	258	823
239	259	822
240	261	823
241	262	822
242	264	822
243	265	822
244	266	822
245	268	822
246	269	820
247	270	820
248	271	820
249	272	818
250	273	816
251	274	815
252	276	816
253	278	818
254	280	820
255	283	822
256	284	823
257	286	825
258	289	827
259	291	829
260	293	830
261	295	832
262	297	833
263	299	834
264	301	835
265	303	837
266	305	838
267	307	839
268	309	840
269	311	841
270	313	842
271	315	843
272	317	844
273	319	845
274	321	846
275	323	847
276	326	851
277	328	852
278	329	852
279	331	852
280	333	852
281	334	852
282	336	852
283	338	852
284	339	852
285	341	851
286	342	851
287	344	851
288	346	851
289	348	852
290	350	853
291	352	854
292	353	854
293	355	853
294	357	853
295	358	851
296	359	851
297	361	852
298	363	852
299	365	853
300	367	853
301	369	853
302	371	853
303	372	853
304	374	853
305	376	854
306	377	853
307	379	851
308	380	850
309	381	849
310	382	848
311	384	846
312	385	845
313	386	844
314	387	842
315	388	841
316	389	839
317	390	838
318	391	836
319	393	835
320	394	834
321	395	832
322	396	831
323	397	830
324	399	828
325	400	827
326	401	826
327	402	824
328	403	823
329	404	821
330	405	819
331	407	819
332	409	819
333	410	818
334	412	817
335	413	817
336	415	817
337	416	816
338	417	814
339	419	814
340	420	812
341	421	811
342	423	811
343	425	811
344	426	809
345	428	809
346	430	809
347	432	809
348	434	811
349	436	809
350	436	807
351	437	806
352	438	804
353	439	802
354	440	801
355	441	799
356	442	797
357	444	796
358	445	794
359	445	792
360	446	790
361	447	789
362	449	787
363	449	786
364	450	784
365	452	782
366	453	781
367	454	780
368	455	778
369	456	776
370	457	775
371	458	773
372	459	772
373	460	770
374	461	768
375	461	766
376	462	764
377	463	762
378	464	761
379	465	759
380	466	757
381	467	756
382	469	755
383	470	754
384	471	752
385	473	752
386	474	752
387	476	751
388	478	750
389	479	750
390	481	750
391	483	750
392	485	750
393	487	750
394	489	750
395	492	750
396	494	750
397	495	749
398	496	747
399	497	746
400	499	745
401	500	744
402	502	744
403	504	743
404	505	742
405	506	740
406	507	739
407	508	738
408	510	737
409	511	736
410	513	735
411	514	734
412	516	734
413	517	733
414	519	732
415	521	731
416	522	730
417	524	730
418	526	730
419	529	730
420	531	730
421	533	730
422	535	730
423	536	728
424	538	728
425	539	726
426	540	724
427	541	723
428	542	721
429	543	720
430	544	719
431	545	717
432	547	716
433	548	715
434	549	713
435	550	712
436	552	711
437	553	709
438	554	708
439	555	707
440	556	705
441	557	703
442	558	702
443	559	701
444	561	699
445	562	698
446	563	697
447	564	695
448	565	694
449	566	692
450	567	691
451	568	689
452	569	688
453	571	686
454	572	685
455	573	683
456	574	682
457	575	681
458	576	679
459	578	678
460	579	677
461	580	675
462	581	674
463	582	673
464	583	671
465	584	670
466	585	668
467	586	667
468	587	665
469	589	664
470	590	663
471	591	662
472	593	661
473	594	659
474	595	658
475	596	656
476	597	655
477	598	653
478	599	652
479	600	650
480	602	650
481	603	648
482	604	647
483	606	646
484	607	645
485	609	644
486	611	643
487	613	643
488	614	642
489	616	641
490	618	640
491	620	640
492	621	639
493	623	638
494	624	637
495	626	636
496	628	635
497	630	635
498	632	635
499	634	634
500	637	634
501	639	633
502	640	633
503	642	632
504	644	632
505	647	631
506	648	631
507	650	630
508	652	629
509	654	629
510	656	628
511	659	628
512	661	627
513	662	626
514	664	625
515	666	625
516	668	624
517	669	623
518	670	621
519	672	621
520	674	620
521	676	619
522	678	618
523	680	617
524	682	617
525	683	616
526	685	615
527	687	614
528	689	613
529	691	613
530	693	612
531	695	611
532	697	611
533	699	610
534	700	608
535	701	607
536	702	606
537	704	604
538	705	603
539	706	601
540	707	600
541	708	598
542	709	597
543	711	596
544	712	594
545	713	593
546	714	591
547	716	590
548	717	589
549	718	587
550	719	586
551	720	585
552	722	583
553	723	582
554	724	581
555	725	579
556	727	578
557	728	576
558	729	575
559	730	573
560	731	572
561	732	570
562	733	569
563	735	568
564	736	566
565	737	565
566	738	563
567	739	562
568	740	560
569	741	559
570	742	558
571	743	556
572	744	554
573	745	553
574	747	552
575	748	550
576	749	549
577	751	548
578	752	547
579	754	546
580	756	545
581	758	544
582	759	543
583	761	542
584	762	541
585	765	540
586	766	539
587	767	537
588	769	536
589	771	536
590	773	535
591	774	534
592	776	533
593	778	532
594	781	531
595	782	530
596	783	529
597	785	527
598	786	526
599	788	525
600	789	524
601	791	523
602	793	522
603	795	521
604	797	520
605	799	519
606	801	519
607	803	518
608	805	517
609	807	516
610	809	515
611	811	514
612	813	513
613	815	512
614	818	512
615	820	511
616	822	510
617	823	509
618	826	508
619	827	507
620	829	506
621	831	505
622	833	504
623	835	503
624	836	502
625	838	501
626	839	499
627	840	498
628	842	496
629	844	495
630	846	494
631	848	494
632	850	492
633	852	491
634	853	490
635	855	489
636	857	488
637	859	487
638	861	486
639	863	485
640	865	484
641	867	483
642	869	482
643	872	482
644	874	481
645	876	480
646	878	479
647	879	477
648	880	476
649	882	474
650	883	473
651	884	472
652	885	470
653	887	469
654	888	467
655	889	466
656	890	464
657	891	463
658	893	462
659	894	460
660	895	459
661	896	457
662	897	456
663	898	454
664	900	453
665	901	452
666	902	450
667	903	449
668	905	447
669	906	446
670	907	444
671	908	443
672	909	441
673	910	440
674	911	439
675	913	437
676	914	436
677	915	434
678	917	433
679	918	432
680	919	430
681	920	429
682	921	427
683	922	426
684	924	425
685	925	423
686	926	422
687	927	420
688	929	419
689	930	418
690	932	416
691	933	415
692	935	414
693	935	412
694	937	411
695	938	409
696	939	408
697	941	407
698	942	405
699	944	404
700	946	403
701	947	402
702	949	401
703	950	399
704	952	398
705	953	397
706	955	395
707	957	394
708	959	393
709	961	392
710	963	391
711	965	390
712	967	389
713	969	388
714	971	387
715	973	385
716	975	384
717	977	383
718	979	382
719	981	381
720	983	380
721	985	379
722	987	378
723	989	377
724	991	376
725	993	374
726	995	373
727	997	372
728	999	371
729	1001	370
730	1003	369
731	1004	367
732	1006	366
733	1008	365
734	1010	364
735	1011	362
736	1013	361
737	1014	360
738	1016	359
739	1018	357
740	1020	356
741	1021	355
742	1023	354
743	1025	352
744	1027	351
745	1028	350
746	1030	349
747	1032	347
748	1034	346
749	1035	345
750	1037	344
751	1039	342
752	1040	341
753	1042	339
754	1043	338
755	1044	337
756	1046	335
757	1049	334
758	1051	333
759	1053	332
760	1055	331
761	1057	330
762	1059	329
763	1061	328
764	1063	326
765	1065	325
766	1068	324
767	1070	323
768	1072	322
769	1074	320
770	1076	319
771	1078	318
772	1080	317
773	1082	316
774	1084	314
775	1086	313
776	1088	312
777	1090	311
778	1092	309
779	1094	308
780	1096	307
781	1098	306
